#,動詞,Verb,,Meaning,自/他,意向,能动(V2),"て/で ( noun-で, adj-て, verb-て)",,た/だ,,,,ます,,,
,,,,,,,,Iます,IIて,normal,negative,past,past-negative,normal,negative,past,past-negative
1,（2）浴びる,abiru ,あびる,"to bathe, to shower",,浴びよう,浴びられる,,浴びて,浴びる,浴びない,浴びた,浴びなかった,浴びます,浴びません,浴びました,浴びませんでした
2,(2) 上げる,ageru,あげる,to raise; to elevate,,あげよう,上げられる,,上げて, 上げる,上げない,上げた,上げなかった,上げます,上げません,上げました,上げませんでした
3,(2) 開ける,akeru,あける,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",,開けよう,開けられる,,開けて, 開ける,開けない,開けた,開けなかった,開けます,開けません,開けました,開けませんでした
4,(1) 開く,aku,あく,"to open (e.g. doors, business, etc)",,開こう,開ける,,開いて, 開く,開かない,開いた,開かなかった,開きます,開きません,開きました,開きませんでした
5,(1) 洗う,arau,あらう,to wash,,洗おう,洗える,,洗って, 洗う,洗わない,洗った,洗わなかった,洗います,洗いません,洗いました,洗いませんでした
6,(1) ある,aru,,"to be, to have",,あろう,あれる,,あって, ある,あらない,あった,あらなかった,あります,ありません,ありました,ありませんでした
7,(1) 歩く,aruku,あるく,to walk,,歩こう,歩ける,,歩いて, 歩く,歩かない,歩いた,歩かなかった,歩きます,歩きません,歩きました,歩きませんでした
8,(1) 遊ぶ,asobu,あそぶ,to play; to enjoy oneself,,遊ぼう,　,,遊んで, 遊ぶ,遊ばない,遊ぼんだ,遊ばなかった,遊びます,遊びません,遊びました,遊びませんでした
9,(1) 会う,au,あう,to meet; to encounter; to see,,会おう,会える,,会って, 会う,会わない,会った,合わなかった,会います,会いません,会いました,会いませんでした
10,(3) 勉強,benkyou,べんきょう,to study,,勉強しよう,勉強できる,,勉強して, 勉強,勉強しない,勉強した,勉強しなかった,勉強します,勉強しません,勉強しました,勉強しませんでした
11,(1) 違う,chigau,ちがう,to differ,,違おう,違える,,違って, 違う,違わない,違った,違わなかった,違います,違いません,違いました,違いませんでした
12,(1) 出す,dasu,だす,to take out; to get out; to put out; to reveal,,出そう,出せる,,出して, 出す,出さない,出した,出さなかった,出します,出しません,出しました,出しませんでした
13,(2) 出かける,dekakeru,でかける,to go out; to leave; to depart,,出かけろう,出かけられる,,出かけて, 出かける,出かけない,出かけた,出かけなかった,出かけます,出かけません,出かけました,出かけませんでした
14,(3) 電話,denwa,でんわ,telephone (call / device)l; phone call,,電話しよう,電話できる,,電話して, 電話,電話しない,電話した,電話しなかった,電話します,電話しません,電話しました,電話しませんでした
15,(2) 出る,deru,でる,to leave; to exit; to appear; to go out,,出よう,出られる,,出て, 出る,出ない,出た,出なかった,出ます,出ません,出ました,出ませんでした
16,(1) 吹く,fuku,ふく,to blow (of the wind),,吹こう,吹ける,,吹いて, 吹く,吹かない,吹いた,吹かなかった,吹きます,吹きません,吹きました,吹きませんでした
17,(1) 降る,furu,ふる,to fall,,降ろう,降れる,,降って, 降る,降らない,降った,降らなかった,降ります,降りません,降りました,降りませんでした
18,(1) 入る,hairu,はいる,to enter; to go into,,入ろう,入れる,,入って, 入る,入らない,入った,入らなかった,入ります,入りません,入りました,入りませんでした
19,(1) 始まる,hajimaru,はじまる,to begin,,始まろう,始まれる,,始まって, 始まる,始まらない,始まった,始まらなかった,始まります,始まりません,始まりました,始まりませんでした
20,(1) 履く,haku,はく,"to wear, to put on trousers",,履こう,履ける,,履いて, 履く,履かない,履いた,履かなかった,履きます,履きません,履きました,履きませんでした
21,(1) 話す,hanasu,はなす,to speak; to talk; to converse,,話そう,話せる,,話して, 話す,話さない,話した,話さなかった,話します,話しません,話しました,話しませんでした
22,(2) 晴れる,hareru,はれる,to be sunny,,晴れよう,貼れられる,,晴れて, 晴れる,晴れない,晴れた,貼れなかった,晴れます,晴れません,晴れました,晴れませんでした
23,(1) 貼る,haru,はる,to stick; to paste,,貼ろう,晴れる,,貼って, 貼る,貼らない,貼った,貼らなかった,貼ります,貼りません,貼りました,貼りませんでした
24,(1) 走る,hashiru,はしる,to run,,走ろう,走れる,,走って, 走る,走らない,走った,走らなかった,走ります,走りません,走りました,走りませんでした
25,(1) 働く,hataraku,はたらく,to work,,働こう,働ける,,働いて, 働く,働かない,働いた,働かなった,働きます,働きません,働きました,働きませんでした
26,(1) 引く,hiku,ひく,to pull,,引こう,引ける,,引いて, 引く,引かない,引いた,引かなった,引きます,引きません,引きました,引きませんでした
27,(1) 弾く,hiku,ひく,to play,,弾こう,弾ける,,弾いて, 弾く,弾かない,弾いた,弾かなった,弾きます,弾きません,弾きました,弾きませんでした
28,(1) 行く,iku,いく,to go; to move,,行こう,行ける,,行って, 行く,行かない,行った,行かなった,行きます,行きません,行きました,行きませんでした
29,(2) 入れる,ireru,いれる,to put in; to let in; to take in; to bring in; to insert; to install,,入れよう,入れされる,,入れて, 入れる,入れない,入れた,入れなった,入れます,入れません,入れました,入れませんでした
30,(2) 居る,iru,いる,"to be, to have",,居よう,居される,,居て, 居る,居ない,居た,居なった,居ます,居ません,居ました,居ませんでした
31,(1) 居る,oru,おる,,,,居れる,,居って, 居る,居らない,居った,居らなった,居ります,居りません,居りました,居りませんでした
32,(1) 要る,iru,いる,to be needed,,,,,要って, 要る,要らない,要った,要らなった,要ります,要りません,要りました,要りませんでした
33,(1) 言う,iu,いう,to say; to call,,言おう,言える,,言って, 言う,言わない,言った,言わなった,言います,言いません,言いました,言いませんでした
34,(3) 授業,jugyou,じゅぎょう,lesson; class work,,授業しよう,授業できる,,授業して, 授業,授業しない,授業した,授業しなった,授業します,授業しません,授業しました,授業しませんでした
35,(1) 帰る,kaeru,かえる,to go back?,,帰ろう,帰れる,,帰って, 帰る,帰らない,帰った,帰らなった,帰ります,帰りません,帰りました,帰りませんでした
36,(1) 返す,kaesu,かえす,to return something,,返そう,返せる,,返して, 返す,返さない,返した,返さなった,返します,返しません,返しました,返しませんでした
37,(1) 掛かる,kakaru,かかる,"to take (a resource, e.g. time or money)",,掛かろう,掛かれる,,掛かって, 掛かる,掛からない,掛かった,掛からなった,掛かります,掛かりません,掛かりました,掛かりませんでした
38,(2) 掛ける,kakeru,かける,to hang up; to make (a call)?;,,掛けよう,掛けられる,,掛けて, 掛ける,掛けない,掛けた,掛けなった,掛けます,掛けません,掛けました,掛けませんでした
39,(1) 書く,kaku,かく,to write; to compose; to pen; to draw,,書こう,書ける,,書いて, 書く,書かない,書いた,書かなった,書きます,書きません,書きました,書きませんでした
40,(2) 借りる,kariru,かりる,to borrow,,借りろう,借りられる,,借りて, 借りる,借りない,借りた,借りりなった,借りまし,借りません,借りました,借りませんでした
41,(1) 貸す,kasu,かす,to lend; to loan,,貸そう,貸せる,,貸して, 貸す,貸さない,貸した,貸さなつた,貸します,貸しません,貸しました,貸しませんでした
42,(1) 買う,kau,かう,to buy; to purchase,,買おう,買える,,買って, 買う,買わない,買った,買わなった,買います,買いません,買いました,買いませんでした
43,(3) 結婚,kekkon,けっこん,marriage,,結婚しよう,結婚できる,,結婚して, 結婚,結婚しない,結婚した,結婚しなった,,,,
44,(1) 消す,kesu,けす,"to erase, to turn off power",,消そう,消せる,,消して, 消す,消さない,消した,消さなった,消します,消しません,消しました,消しませんでした
45,(2) 消える,kieru,きえる,to disappear,,消えよう,消えられる,,消えて, 消える,消えない,消えた,消えなった,消えます,消えません,消えました,消えませんでした
